layer,scale,avg_score
0,0.1,1.0319010416666667
0,0.2,1.2477213541666667
0,0.30000000000000004,1.3902994791666667
0,0.4,1.4397786458333333
0,0.5,1.7609049479166667
0,0.6,2.1140950520833335
0,0.7000000000000001,3.0963541666666665
0,0.8,3.3486328125
0,0.9,3.5328776041666665
0,1.0,3.1009928385416665
1,0.1,0.7952473958333334
1,0.2,0.6214192708333334
1,0.30000000000000004,0.5807291666666666
1,0.4,0.6878255208333334
1,0.5,0.5514322916666666
1,0.6,0.4684244791666667
1,0.7000000000000001,2.3258463541666665
1,0.8,2.70166015625
1,0.9,2.6253255208333335
1,1.0,2.50830078125
2,0.1,0.6907552083333334
2,0.2,0.45703125
2,0.30000000000000004,0.3772786458333333
2,0.4,0.4651692708333333
2,0.5,0.5546875
2,0.6,0.3391927083333333
2,0.7000000000000001,0.13736979166666666
2,0.8,0.6985677083333334
2,0.9,2.1505533854166665
2,1.0,3.92919921875
3,0.1,0.8043619791666666
3,0.2,0.6500651041666666
3,0.30000000000000004,0.5208333333333334
3,0.4,0.4303385416666667
3,0.5,0.3665364583333333
3,0.6,0.4189453125
3,0.7000000000000001,0.6223958333333334
3,0.8,1.6070963541666667
3,0.9,4.059407552083333
3,1.0,5.523763020833333
4,0.1,1.1588541666666667
4,0.2,1.791015625
4,0.30000000000000004,2.5867513020833335
4,0.4,5.86474609375
4,0.5,7.519856770833333
4,0.6,8.32373046875
4,0.7000000000000001,8.550211588541666
4,0.8,8.2900390625
4,0.9,7.650065104166667
4,1.0,6.80078125
5,0.1,1.0475260416666667
5,0.2,1.1057942708333333
5,0.30000000000000004,1.1516927083333333
5,0.4,1.3515625
5,0.5,2.9060872395833335
5,0.6,5.451171875
5,0.7000000000000001,7.203287760416667
5,0.8,8.014973958333334
5,0.9,8.009928385416666
5,1.0,7.609375
6,0.1,1.0859375
6,0.2,1.2845052083333333
6,0.30000000000000004,1.3108723958333333
6,0.4,1.1370442708333333
6,0.5,0.89306640625
6,0.6,1.8640950520833333
6,0.7000000000000001,2.39013671875
