layer,scale,avg_score
0,0.1,0.7724609375
0,0.2,0.7613932291666666
0,0.30000000000000004,0.9384765625
0,0.4,1.1858723958333333
0,0.5,1.2252604166666667
0,0.6,1.2643229166666667
0,0.7000000000000001,1.14501953125
0,0.8,0.88623046875
0,0.9,1.1272786458333333
0,1.0,1.0670572916666667
1,0.1,1.1126302083333333
1,0.2,1.4059244791666667
1,0.30000000000000004,1.8841145833333333
1,0.4,2.4293619791666665
1,0.5,2.7986653645833335
1,0.6,2.6793619791666665
1,0.7000000000000001,2.2985026041666665
1,0.8,2.0802408854166665
1,0.9,2.4484049479166665
1,1.0,3.7164713541666665
2,0.1,0.8427734375
2,0.2,0.7630208333333334
2,0.30000000000000004,0.7145182291666666
2,0.4,0.7434895833333334
2,0.5,0.9127604166666666
2,0.6,1.2395833333333333
2,0.7000000000000001,1.5065104166666667
2,0.8,1.2838541666666667
2,0.9,0.6103515625
2,1.0,1.1233723958333333
3,0.1,1.0458984375
3,0.2,1.2255859375
3,0.30000000000000004,1.4944661458333333
3,0.4,1.8056640625
3,0.5,1.9401041666666667
3,0.6,1.7483723958333333
3,0.7000000000000001,1.3922526041666667
3,0.8,1.2275390625
3,0.9,1.5289713541666667
3,1.0,2.3045247395833335
4,0.1,1.0833333333333333
4,0.2,1.3170572916666667
4,0.30000000000000004,1.6666666666666667
4,0.4,2.1044921875
4,0.5,2.1295572916666665
4,0.6,1.7102864583333333
4,0.7000000000000001,1.796875
4,0.8,2.23193359375
4,0.9,2.4251302083333335
4,1.0,2.3317057291666665
5,0.1,1.1617838541666667
5,0.2,1.3173828125
5,0.30000000000000004,1.3483072916666667
5,0.4,1.3017578125
5,0.5,1.2425130208333333
5,0.6,1.1416015625
5,0.7000000000000001,1.3177083333333333
5,0.8,1.9674479166666667
5,0.9,2.3289388020833335
5,1.0,2.3162434895833335
6,0.1,1.0764973958333333
6,0.2,1.1901041666666667
6,0.30000000000000004,1.1767578125
6,0.4,1.0224609375
6,0.5,1.0185546875
6,0.6,1.1100260416666667
6,0.7000000000000001,1.0452473958333333
6,0.8,0.9671223958333334
6,0.9,1.38623046875
6,1.0,1.7320963541666667
7,0.1,0.8645833333333334
7,0.2,0.7252604166666666
7,0.30000000000000004,0.5774739583333334
7,0.4,0.455078125
7,0.5,0.3528645833333333
7,0.6,0.19205729166666666
7,0.7000000000000001,-0.1611328125
7,0.8,-0.24381510416666666
7,0.9,1.3318684895833333
7,1.0,4.175211588541667
8,0.1,1.0201822916666667
8,0.2,1.0361328125
8,0.30000000000000004,1.0361328125
8,0.4,1.1477864583333333
8,0.5,1.4889322916666667
8,0.6,1.8854166666666667
8,0.7000000000000001,2.0065104166666665
8,0.8,1.89794921875
8,0.9,1.8033854166666667
8,1.0,1.8264973958333333
9,0.1,0.9095052083333334
9,0.2,0.8258463541666666
9,0.30000000000000004,0.8098958333333334
9,0.4,1.0616861979166667
9,0.5,1.5431315104166667
9,0.6,1.9129231770833333
9,0.7000000000000001,2.1013997395833335
9,0.8,2.22119140625
9,0.9,2.39111328125
9,1.0,2.6611328125
10,0.1,1.1116536458333333
10,0.2,1.1516927083333333
10,0.30000000000000004,1.2395833333333333
10,0.4,1.4814453125
10,0.5,1.8264973958333333
10,0.6,2.1630859375
10,0.7000000000000001,2.4427083333333335
10,0.8,2.6653645833333335
10,0.9,2.79736328125
10,1.0,2.7039388020833335
11,0.1,1.1578776041666667
11,0.2,1.2805989583333333
11,0.30000000000000004,1.3404947916666667
11,0.4,1.3619791666666667
11,0.5,1.3658854166666667
11,0.6,1.3678385416666667
11,0.7000000000000001,1.3815104166666667
11,0.8,1.4016927083333333
11,0.9,1.4583333333333333
11,1.0,1.5709635416666667
12,0.1,1.0152994791666667
12,0.2,0.9713541666666666
12,0.30000000000000004,0.8515625
12,0.4,0.6920572916666666
12,0.5,0.5364583333333334
12,0.6,0.4235026041666667
12,0.7000000000000001,0.3860677083333333
12,0.8,0.4300130208333333
12,0.9,0.5227864583333334
12,1.0,0.6126302083333334
13,0.1,0.9462890625
13,0.2,0.8909505208333334
13,0.30000000000000004,0.7835286458333334
13,0.4,0.6569010416666666
13,0.5,0.5364583333333334
13,0.6,0.4440104166666667
13,0.7000000000000001,0.3909505208333333
13,0.8,0.3994140625
13,0.9,0.4645182291666667
13,1.0,0.6041666666666666
14,0.1,0.9153645833333334
14,0.2,0.7783203125
14,0.30000000000000004,0.5572916666666666
14,0.4,0.2854817708333333
14,0.5,-0.0016276041666666667
14,0.6,-0.2835286458333333
14,0.7000000000000001,-0.5511067708333334
14,0.8,-0.7945963541666666
14,0.9,-1.0048828125
14,1.0,-1.1500651041666667
15,0.1,1.154296875
15,0.2,1.3186848958333333
15,0.30000000000000004,1.4339192708333333
15,0.4,1.5149739583333333
15,0.5,1.5797526041666667
15,0.6,1.6572265625
15,0.7000000000000001,1.7755533854166667
15,0.8,1.939453125
15,0.9,2.12353515625
15,1.0,2.25634765625
16,0.1,0.7600911458333334
16,0.2,0.603515625
16,0.30000000000000004,0.4840494791666667
16,0.4,0.4189453125
16,0.5,0.4505208333333333
16,0.6,0.626953125
16,0.7000000000000001,0.9612630208333334
16,0.8,1.42578125
16,0.9,1.978515625
16,1.0,2.5992838541666665
17,0.1,1.0341796875
17,0.2,1.0966796875
17,0.30000000000000004,1.15234375
17,0.4,1.2360026041666667
17,0.5,1.3688151041666667
17,0.6,1.5888671875
17,0.7000000000000001,1.8968098958333333
17,0.8,2.2939453125
17,0.9,2.8107096354166665
17,1.0,3.4669596354166665
18,0.1,1.0419921875
18,0.2,1.138671875
18,0.30000000000000004,1.2444661458333333
18,0.4,1.3512369791666667
18,0.5,1.4580078125
18,0.6,1.56640625
18,0.7000000000000001,1.6637369791666667
18,0.8,1.7565104166666667
18,0.9,1.8435872395833333
18,1.0,1.9256184895833333
19,0.1,1.0517578125
19,0.2,1.1455078125
19,0.30000000000000004,1.2096354166666667
19,0.4,1.2216796875
19,0.5,1.1585286458333333
19,0.6,1.0109049479166667
19,0.7000000000000001,0.79150390625
19,0.8,0.5390625
19,0.9,0.32421875
19,1.0,0.22672526041666666
20,0.1,0.8206380208333334
20,0.2,0.76953125
20,0.30000000000000004,0.8134765625
20,0.4,0.9524739583333334
20,0.5,1.1806640625
20,0.6,1.4710286458333333
20,0.7000000000000001,1.7867838541666667
20,0.8,2.10205078125
20,0.9,2.3680013020833335
20,1.0,2.57470703125
21,0.1,1.33203125
21,0.2,1.7874348958333333
21,0.30000000000000004,2.3079427083333335
21,0.4,2.8958333333333335
21,0.5,3.5271809895833335
21,0.6,4.166829427083333
21,0.7000000000000001,4.7724609375
21,0.8,5.335286458333333
21,0.9,5.858235677083333
21,1.0,6.35009765625
22,0.1,1.3268229166666667
22,0.2,1.7763671875
22,0.30000000000000004,2.3017578125
22,0.4,2.87890625
22,0.5,3.4747721354166665
22,0.6,4.061686197916667
22,0.7000000000000001,4.609212239583333
22,0.8,5.111002604166667
22,0.9,5.549153645833333
22,1.0,5.92724609375
23,0.1,1.3134765625
23,0.2,1.7252604166666667
23,0.30000000000000004,2.16748046875
23,0.4,2.6048177083333335
23,0.5,3.00732421875
23,0.6,3.3483072916666665
23,0.7000000000000001,3.6142578125
23,0.8,3.8230794270833335
23,0.9,3.9812825520833335
23,1.0,4.102864583333333
24,0.1,1.1575520833333333
24,0.2,1.4905598958333333
24,0.30000000000000004,1.9593098958333333
24,0.4,2.5304361979166665
24,0.5,3.1326497395833335
24,0.6,3.67724609375
24,0.7000000000000001,4.112630208333333
24,0.8,4.436197916666667
24,0.9,4.665364583333333
24,1.0,4.8251953125
25,0.1,0.8531901041666666
25,0.2,0.7535807291666666
25,0.30000000000000004,0.6536458333333334
25,0.4,0.5478515625
25,0.5,0.4397786458333333
25,0.6,0.3258463541666667
25,0.7000000000000001,0.21484375
25,0.8,0.10205078125
25,0.9,-0.00732421875
25,1.0,-0.11328125
