layer,scale,avg_score
6,1.0,0.6233723958333334
7,0.1,1.0074869791666667
7,0.2,1.0478515625
7,0.30000000000000004,1.0693359375
7,0.4,1.0706380208333333
7,0.5,1.0598958333333333
7,0.6,1.044921875
7,0.7000000000000001,1.0354817708333333
7,0.8,1.0406901041666667
7,0.9,1.0738932291666667
7,1.0,1.107421875
8,0.1,0.9752604166666666
8,0.2,0.9840494791666666
8,0.30000000000000004,0.9772135416666666
8,0.4,0.9456380208333334
8,0.5,0.8987630208333334
8,0.6,0.8684895833333334
8,0.7000000000000001,0.8580729166666666
8,0.8,0.8160807291666666
8,0.9,0.7216796875
8,1.0,0.6246744791666666
9,0.1,0.8948567708333334
9,0.2,0.8336588541666666
9,0.30000000000000004,0.7796223958333334
9,0.4,0.7389322916666666
9,0.5,0.7034505208333334
9,0.6,0.6868489583333334
9,0.7000000000000001,0.6686197916666666
9,0.8,0.6373697916666666
9,0.9,0.578125
9,1.0,0.49609375
10,0.1,0.9098307291666666
10,0.2,0.8684895833333334
10,0.30000000000000004,0.822265625
10,0.4,0.7639973958333334
10,0.5,0.6923828125
10,0.6,0.6048177083333334
10,0.7000000000000001,0.5026041666666666
10,0.8,0.3828125
10,0.9,0.2584635416666667
10,1.0,0.125
11,0.1,0.8870442708333334
11,0.2,0.8291015625
11,0.30000000000000004,0.779296875
11,0.4,0.7415364583333334
11,0.5,0.7125651041666666
11,0.6,0.6868489583333334
11,0.7000000000000001,0.6595052083333334
11,0.8,0.6175130208333334
11,0.9,0.5572916666666666
11,1.0,0.470703125
12,0.1,0.9830729166666666
12,0.2,1.0289713541666667
12,0.30000000000000004,1.0764973958333333
12,0.4,1.1311848958333333
12,0.5,1.1865234375
12,0.6,1.2408854166666667
12,0.7000000000000001,1.2825520833333333
12,0.8,1.3092447916666667
12,0.9,1.3186848958333333
12,1.0,1.310546875
13,0.1,0.8388671875
13,0.2,0.7076822916666666
13,0.30000000000000004,0.560546875
13,0.4,0.408203125
13,0.5,0.2626953125
13,0.6,0.12239583333333333
13,0.7000000000000001,-0.00390625
13,0.8,-0.11393229166666667
13,0.9,-0.20833333333333334
13,1.0,-0.2887369791666667
14,0.1,0.9768880208333334
14,0.2,0.9801432291666666
14,0.30000000000000004,0.953125
14,0.4,0.8961588541666666
14,0.5,0.8102213541666666
14,0.6,0.6966145833333334
14,0.7000000000000001,0.5598958333333334
14,0.8,0.4108072916666667
14,0.9,0.24446614583333334
14,1.0,0.0712890625
15,0.1,0.9397786458333334
15,0.2,0.9130859375
15,0.30000000000000004,0.8610026041666666
15,0.4,0.7874348958333334
15,0.5,0.6962890625
15,0.6,0.591796875
15,0.7000000000000001,0.4781901041666667
15,0.8,0.3567708333333333
15,0.9,0.2412109375
15,1.0,0.12923177083333334
16,0.1,1.0774739583333333
16,0.2,1.2044270833333333
16,0.30000000000000004,1.3177083333333333
16,0.4,1.4095052083333333
16,0.5,1.4723307291666667
16,0.6,1.5068359375
16,0.7000000000000001,1.5084635416666667
16,0.8,1.4791666666666667
16,0.9,1.4140625
16,1.0,1.3284505208333333
17,0.1,0.9365234375
17,0.2,0.91796875
17,0.30000000000000004,0.8902994791666666
17,0.4,0.8564453125
17,0.5,0.8046875
17,0.6,0.7360026041666666
17,0.7000000000000001,0.6370442708333334
17,0.8,0.5149739583333334
17,0.9,0.361328125
17,1.0,0.17805989583333334
18,0.1,1.0514322916666667
18,0.2,1.1341145833333333
18,0.30000000000000004,1.1940104166666667
18,0.4,1.2223307291666667
18,0.5,1.2203776041666667
18,0.6,1.1790364583333333
18,0.7000000000000001,1.1064453125
18,0.8,1.013671875
18,0.9,0.9078776041666666
18,1.0,0.7981770833333334
19,0.1,0.8841145833333334
19,0.2,0.8229166666666666
19,0.30000000000000004,0.7659505208333334
19,0.4,0.7194010416666666
19,0.5,0.6858723958333334
19,0.6,0.6722005208333334
19,0.7000000000000001,0.6848958333333334
19,0.8,0.7320963541666666
19,0.9,0.826171875
19,1.0,0.9755859375
