layer,scale,avg_score
0,0.1,0.9677734375
0,0.2,0.9723307291666666
0,0.30000000000000004,0.9651692708333334
0,0.4,0.958984375
0,0.5,0.9638671875
0,0.6,0.9850260416666666
0,0.7000000000000001,1.0279947916666667
0,0.8,1.0764973958333333
0,0.9,1.11328125
0,1.0,1.1158854166666667
1,0.1,0.9479166666666666
1,0.2,0.9348958333333334
1,0.30000000000000004,0.9189453125
1,0.4,0.9166666666666666
1,0.5,0.9430338541666666
1,0.6,0.994140625
1,0.7000000000000001,1.0703125
1,0.8,1.1246744791666667
1,0.9,1.1429036458333333
1,1.0,1.130859375
2,0.1,0.931640625
2,0.2,0.9134114583333334
2,0.30000000000000004,0.8968098958333334
2,0.4,0.876953125
2,0.5,0.8577473958333334
2,0.6,0.8385416666666666
2,0.7000000000000001,0.8167317708333334
2,0.8,0.7841796875
2,0.9,0.7408854166666666
2,1.0,0.703125
3,0.1,0.8772786458333334
3,0.2,0.7942708333333334
3,0.30000000000000004,0.7122395833333334
3,0.4,0.6432291666666666
3,0.5,0.5836588541666666
3,0.6,0.5426432291666666
3,0.7000000000000001,0.5110677083333334
3,0.8,0.494140625
3,0.9,0.4860026041666667
3,1.0,0.4925130208333333
4,0.1,0.8834635416666666
4,0.2,0.8098958333333334
4,0.30000000000000004,0.7298177083333334
4,0.4,0.6575520833333334
4,0.5,0.5911458333333334
4,0.6,0.5374348958333334
4,0.7000000000000001,0.5026041666666666
4,0.8,0.4833984375
4,0.9,0.4759114583333333
4,1.0,0.4778645833333333
5,0.1,0.8401692708333334
5,0.2,0.716796875
5,0.30000000000000004,0.5882161458333334
5,0.4,0.4658203125
5,0.5,0.3815104166666667
5,0.6,0.333984375
5,0.7000000000000001,0.3304036458333333
5,0.8,0.3502604166666667
5,0.9,0.3704427083333333
5,1.0,0.3759765625
6,0.1,0.8515625
6,0.2,0.7347005208333334
6,0.30000000000000004,0.6067708333333334
6,0.4,0.4886067708333333
6,0.5,0.3873697916666667
6,0.6,0.3098958333333333
6,0.7000000000000001,0.2545572916666667
6,0.8,0.205078125
6,0.9,0.16276041666666666
6,1.0,0.1220703125
7,0.1,0.8561197916666666
7,0.2,0.7731119791666666
7,0.30000000000000004,0.693359375
7,0.4,0.623046875
7,0.5,0.5540364583333334
7,0.6,0.4765625
7,0.7000000000000001,0.4007161458333333
7,0.8,0.3258463541666667
7,0.9,0.2516276041666667
7,1.0,0.18424479166666666
8,0.1,0.8759765625
8,0.2,0.8111979166666666
8,0.30000000000000004,0.7552083333333334
8,0.4,0.7018229166666666
8,0.5,0.65625
8,0.6,0.6194661458333334
8,0.7000000000000001,0.5869140625
8,0.8,0.5631510416666666
8,0.9,0.5445963541666666
8,1.0,0.537109375
9,0.1,0.9241536458333334
9,0.2,0.8938802083333334
9,0.30000000000000004,0.8587239583333334
9,0.4,0.8138020833333334
9,0.5,0.7692057291666666
9,0.6,0.7216796875
9,0.7000000000000001,0.669921875
9,0.8,0.6217447916666666
9,0.9,0.5823567708333334
9,1.0,0.548828125
10,0.1,0.9267578125
10,0.2,0.8997395833333334
10,0.30000000000000004,0.8668619791666666
10,0.4,0.8274739583333334
10,0.5,0.7848307291666666
10,0.6,0.7291666666666666
10,0.7000000000000001,0.6728515625
10,0.8,0.6194661458333334
10,0.9,0.5690104166666666
10,1.0,0.5250651041666666
11,0.1,0.892578125
11,0.2,0.8453776041666666
11,0.30000000000000004,0.8076171875
11,0.4,0.779296875
11,0.5,0.7473958333333334
11,0.6,0.7180989583333334
11,0.7000000000000001,0.6910807291666666
11,0.8,0.6650390625
11,0.9,0.6477864583333334
11,1.0,0.646484375
12,0.1,0.8850911458333334
12,0.2,0.8072916666666666
12,0.30000000000000004,0.7317708333333334
12,0.4,0.662109375
12,0.5,0.5999348958333334
12,0.6,0.5595703125
12,0.7000000000000001,0.5341796875
12,0.8,0.525390625
12,0.9,0.5358072916666666
12,1.0,0.5576171875
13,0.1,0.9020182291666666
13,0.2,0.8375651041666666
13,0.30000000000000004,0.7701822916666666
13,0.4,0.7099609375
13,0.5,0.654296875
13,0.6,0.6272786458333334
13,0.7000000000000001,0.6204427083333334
13,0.8,0.6419270833333334
13,0.9,0.6826171875
13,1.0,0.7470703125
14,0.1,0.8551432291666666
14,0.2,0.7626953125
14,0.30000000000000004,0.6907552083333334
14,0.4,0.640625
14,0.5,0.6158854166666666
14,0.6,0.623046875
14,0.7000000000000001,0.6673177083333334
14,0.8,0.7548828125
14,0.9,0.873046875
14,1.0,1.0240885416666667
15,0.1,0.8981119791666666
15,0.2,0.8447265625
15,0.30000000000000004,0.8076171875
15,0.4,0.8040364583333334
15,0.5,0.853515625
15,0.6,0.9518229166666666
15,0.7000000000000001,1.0533854166666667
15,0.8,1.1533203125
15,0.9,1.2724609375
15,1.0,1.45751953125
16,0.1,0.91015625
16,0.2,0.9039713541666666
16,0.30000000000000004,0.9348958333333334
16,0.4,1.029296875
16,0.5,1.1536458333333333
16,0.6,1.2623697916666667
16,0.7000000000000001,1.32421875
16,0.8,1.3619791666666667
16,0.9,1.3857421875
16,1.0,1.4207356770833333
17,0.1,0.9059244791666666
17,0.2,0.9033203125
17,0.30000000000000004,0.9677734375
17,0.4,1.1227213541666667
17,0.5,1.3232421875
17,0.6,1.5205078125
17,0.7000000000000001,1.6500651041666667
17,0.8,1.6842447916666667
17,0.9,1.6236979166666667
17,1.0,1.5107421875
18,0.1,0.8440755208333334
18,0.2,0.7893880208333334
18,0.30000000000000004,0.8082682291666666
18,0.4,0.8942057291666666
18,0.5,1.0091145833333333
18,0.6,1.119140625
18,0.7000000000000001,1.2063802083333333
18,0.8,1.2581380208333333
18,0.9,1.2635091145833333
18,1.0,1.2540690104166667
19,0.1,0.9658203125
19,0.2,1.01953125
19,0.30000000000000004,1.1136067708333333
19,0.4,1.2347005208333333
19,0.5,1.3587239583333333
19,0.6,1.4671223958333333
19,0.7000000000000001,1.5491536458333333
19,0.8,1.6103515625
19,0.9,1.6663411458333333
19,1.0,1.72607421875
20,0.1,0.9554036458333334
20,0.2,0.9928385416666666
20,0.30000000000000004,1.0517578125
20,0.4,1.1318359375
20,0.5,1.2086588541666667
20,0.6,1.2581380208333333
20,0.7000000000000001,1.2744140625
20,0.8,1.2972005208333333
20,0.9,1.3766276041666667
20,1.0,1.5608723958333333
21,0.1,1.0540364583333333
21,0.2,1.1956380208333333
21,0.30000000000000004,1.3958333333333333
21,0.4,1.6243489583333333
21,0.5,1.8551432291666667
21,0.6,2.0694986979166665
21,0.7000000000000001,2.35595703125
21,0.8,2.8307291666666665
21,0.9,3.5930989583333335
21,1.0,4.591145833333333
22,0.1,1.1897786458333333
22,0.2,1.4892578125
22,0.30000000000000004,1.849609375
22,0.4,2.2565104166666665
22,0.5,2.6546223958333335
22,0.6,3.0208333333333335
22,0.7000000000000001,3.45263671875
22,0.8,4.197916666666667
22,0.9,5.319417317708333
22,1.0,6.645751953125
23,0.1,1.1910807291666667
23,0.2,1.4837239583333333
23,0.30000000000000004,1.8597005208333333
23,0.4,2.3798828125
23,0.5,3.0953776041666665
23,0.6,4.036946614583333
23,0.7000000000000001,5.111735026041667
23,0.8,6.105326334635417
23,0.9,6.645525614420573
23,1.0,6.5227305094401045
24,0.1,1.2900390625
24,0.2,1.77880859375
24,0.30000000000000004,2.42724609375
24,0.4,3.2218424479166665
24,0.5,4.052897135416667
24,0.6,4.737752278645833
24,0.7000000000000001,5.124478022257487
24,0.8,5.151444832483928
24,0.9,4.855267842610677
24,1.0,4.349934895833333
25,0.1,0.87060546875
25,0.2,0.7286783854166666
25,0.30000000000000004,0.5162760416666666
25,0.4,0.2392578125
25,0.5,-0.07120768229166667
25,0.6,-0.38739013671875
25,0.7000000000000001,-0.6826985677083334
25,0.8,-0.9406661987304688
25,0.9,-1.1511637369791667
25,1.0,-1.3169759114583333
